Gene	  Oocyte	 Zygote	2cell 	4cell 	8cell 	Morulae	Trophectoderm	Primitive 	epiblast	hESC p0	hESC passage10
PIGL	0.516	0.205	0.309	0.114	3.04	10.397	4.449	10.749	4.231	2.008	4.451
HUS1	0.563	2.002	1.568	3.811	5.999	16.168	21.443	39.719	41.732	4.984	10.093
DNAJC30	1.602	3.624	2.406	3.969	4.945	9.155	2.206	6.612	3.593	1.28	4.605
UIMC1	10.038	36.398	29.627	117.161	38.837	15.257	6.634	9.15	3.126	6.584	6.226
FXYD2	0	0	0	0	0	0.016	0	0	0	0.034	0
C17orf77	0	0	0.017	0.019	0.167	0.321	0.2	0.044	0.243	0.285	0.26
ZNF667	0.912	0.679	0.634	0.817	0.44	1.534	0.419	0	2.833	10.706	12.243
ZCCHC12	3.51	2.458	3.136	5.537	1.301	0	0	0	0	0	0.966
NCRNA00245	0.09	0.535	0.361	0.537	0.212	0	0	0	0	0	0.02
TFEC	0	0	0	0	0	0.07	0	0	0	0	0
ATP7B	8.109	4.328	3.185	2.271	0.141	0.372	4.202	2.513	0.286	0.26	0.662
C2orf78	0	0	0	0	0	0	0	0	0	0	0.187
RG9MTD1	36.864	33.675	21.764	13.381	71.841	85.342	93.711	70.291	89.014	65.546	53.539
POLD2	1.144	2.429	1.573	2.247	2.187	10.09	36.483	96.977	37.782	68.744	98.174
NCRNA00189	6.308	9.112	6.99	7.569	3.072	0.271	0.46	1.75	9.069	2.87	0.04
ABCC6P1	250.889	182.651	229.855	344.634	198.805	38.302	0.021	0	1.6	0.012	0.732
MIR3180-3	0	0	0	0	0.038	0	0.028	0	0	0	0
ACOT2	30.894	16.031	7.697	9.521	5.309	7.646	2.219	1.615	0.314	1.901	4.973
HIST1H4I	0	0.055	0	0.19	1.45	1.784	0	0	0	0.953	1.702
PPARGC1A	0.841	1.372	0.313	0.343	0.812	0.073	0.075	0	0	0.265	0.077
ETFA	1258.185	717.259	912.669	667.888	163.773	25.704	73.623	162.714	122.224	54.604	61.949
ZNF146	3.45	12.619	8.3	16.931	7.651	8.609	19.392	11.958	27.423	15.851	10.393
POLRMT	0	0.106	0.336	0.294	12.073	18.512	3.513	5.567	10.042	4.462	4.718
MIA2	0	0	0	0	0	0	0	0.02	0	0	0
KLHL6	0	0	0	0.009	0.026	0.131	0.101	0	0.048	0.125	0.011
LOC642924	0.395	0.189	0.57	0.697	0.219	0	0	0	0	0	0.01
NENF	2.543	2.755	1.001	2.707	0.741	0.458	11.176	16.501	2.605	2.711	2.819
HOXB5	0	0	0	0.175	0.23	0.983	0	0	0	0	0
ARGFX	0	0	0	0.174	125.552	209.377	1.401	6.516	22.877	0.218	0.055
PRSS22	0	0.038	0.017	0	0.113	0.323	0	0.253	0	0	0.007
CASC4	0.6	2.07	1.329	3.219	1.033	1.558	1.142	3.744	0.548	3.004	4.718
LOC400752	0	0	0.161	0.296	0.132	0	0	0	0	0	0
LOC338799	0.174	0.318	0.486	0.726	1.39	0.225	0.142	0	0	1.756	2.935
GTSF1	118.076	431.268	682.096	325.283	67.01	45.213	115.48	116.603	95.45	1.264	6.311
CUL4B	7.067	20.942	15.794	19.297	13.937	10.662	4.737	10.842	7.528	6.328	3.658
CENPJ	18.223	13.308	11.568	4.395	5.015	13.453	8.308	5.924	18.297	7.018	7.028
PITX1	0.929	1.262	0.914	1.044	0.571	2.057	1.023	5.447	6.745	0.119	0.016
AKIRIN1	144.93	55.194	23.193	22.246	87.892	171.476	124.079	93.63	218.309	509.197	343.123
CELSR3	0	0.041	0	0.105	0.064	0.187	0.121	0	1.056	0.523	0.899
LCN15	0	0	0	0	0	0	0	0	0	0	0.082
DNAJC9	582.151	241.514	289.088	199.491	185.903	168.104	113.392	93.496	78.128	83.78	76.548
ZNF568	0.708	0.662	0.355	0.594	4.21	2.299	0.994	0	0	0.028	1.583
ITSN1	28.586	30.278	28.635	31.403	19.177	16.134	31.239	26.111	22.401	37.887	16.801
EHBP1L1	0	0	0	0	0	0.027	0	0	0	0	0.067
C19orf2	5.591	9.288	5.774	6.785	45.652	62.949	46.911	38.662	32.642	30.031	24.054
MT1DP	3.013	0.496	0.721	1.122	0.035	0	0	0	0.154	0.507	0
DCTN1	3.675	20.191	13.919	20.784	7.548	5.268	7.192	9.076	5.5	16.639	16.296
LIN28B	0.773	1.069	0.806	0.709	5.247	5.054	9.039	7.649	12.615	33.265	18.062
TNKS2	5.901	7.365	6.068	4.929	7.905	6.472	5.255	1.062	8.297	5.69	4.004
DUX4L3	0	0.042	0	0.284	0.023	0	0.006	0	0	0	0
C1QBP	7.865	16.642	7.22	15.854	380.992	669.147	386.53	294.273	299.797	211.037	130.862
CADPS2	7.648	8.495	5.155	14.848	4.278	2.714	0.155	0.12	0	3.775	4.446
SRMS	0	0	0	0	0	0	0	0.353	0	0.152	0.014
GJA9	0.036	0.254	0	0.235	0.498	0.471	0	0	0	0	0
TRIM45	3.729	13.462	8.959	14.234	1.375	2.356	0.286	0.249	0.629	4.531	3.654
LOC392232	0.057	0.102	0.069	0.202	0.022	0.082	0	0	0	0	0.005
TCP1	56.38	94.974	85.581	163.504	156.507	241.16	590.091	470.617	658.2	390.362	264.16
TMED7	0.631	1.786	1.038	1.269	3.226	5.817	9.554	4.328	11.03	12.149	4.793
CENPL	20.133	12.129	7.567	20.402	21.931	9.018	5.042	11.501	1.106	10.865	2.534
PTCRA	0	0	0	0	0	0	0	0	0	0.869	0
FST	24.609	15.52	4.154	4.551	1.244	0.433	5.978	8.707	204.241	74.445	44.136
VWCE	0	0	0	0.092	0.343	0.254	0	0	0	1.116	2.698
PAWR	2.616	11.733	9.111	6.368	5.335	5.937	27.612	11.702	17.302	22.917	10.836
TBC1D3B	0	0	0	0.022	0.269	0.216	0.197	0.023	0	0	0.147
SNORD91A	0	0	0	0	0	0	0	0	0.215	0.056	0
ABCC12	0.121	0	0.029	0.286	0.1	0	0	0	0	0.245	0
LDLR	25.013	21.664	23.205	32.265	5.062	2.64	42.247	26.68	18.259	23.147	24.638
CXCR2P1	0	0	0	0.157	0	0	0	0	0	0	0.009
ASTN2	3.874	19.805	12.612	21.094	5.321	13.228	5.939	1.451	4.011	7.927	8.458
TAB2	11.553	22.511	15.458	22.401	20.365	8.783	9.512	2.485	8.29	12.697	8.142
GPATCH8	28.152	30.733	24.508	18.366	13.183	8.156	13.317	7.908	11.554	14.93	15.38
TANC2	2.558	3.785	2.613	4.001	1.132	1.185	0.229	0	1.465	0.844	0.781
KIF4A	136.345	142.557	136.619	87.113	41.967	25.718	6.613	6.735	20.01	17.803	11.218
FAM161A	45.995	33.292	22.931	30.569	6.104	8.094	1.989	3.699	0.752	16.281	26.178
C18orf18	1.652	0.246	0.418	2.279	1.078	1.426	0.602	0	0.223	4.182	3.95
PGM1	0.761	2.892	2.159	7.88	1.795	0.468	31.105	45.885	47.13	46.423	24.977
SNORA11C	0	0	0	0	0.554	0	0	0	0	0	0
CPD	1.679	4.002	3.497	4.548	5.912	7.43	3.247	3.369	1.581	5.961	2.476
SNORD116-7	0	0	0	0	0	0	0	0	0	0	0
SNCAIP	0.775	0.674	0.591	0.31	1.012	2.764	0.341	0.363	0	2.208	1.691
DCT	109.923	98.127	102.387	158.226	21.969	11.979	0.073	0	0	0	0.005
ANXA8	0	0	0	0.058	0	0.024	9.006	3.758	1.264	0	0
HLA-DOA	0.092	0.437	0.087	0.952	0.012	0.023	0.055	0	0.052	5.249	4.565
UPK1B	0.349	0.429	0.562	0.573	1.014	1.777	0.822	0.154	1.075	0.963	1.798
DNAJB4	7.62	11.659	8.548	9.658	14.985	4.976	0.504	1.773	6.63	6.147	2.237
HIST1H4L	0	0	0	0	0.046	0.082	0	0	0	8.897	0
PECR	20.001	22.225	13.131	22.554	2.626	1.179	9.977	19.479	14.138	17.116	11.708
WFIKKN1	0	0	0	0	0.013	0	0	0	0	0	0.01
HSPA2	1.406	7.276	3.74	15.875	89.922	30.603	2.916	2.233	4.408	53.787	20.582
SERP1	10.965	23.827	16.563	15.198	7.81	8.235	30.282	22.774	23.492	19.224	18.981
SYDE2	0.201	0.298	0.232	0.203	0.443	0.08	5.39	1.663	1.996	2.52	1.79
C15orf60	123.153	98.119	145.653	146.358	12.803	2.164	0.024	0	0	0	0.605
TACR2	0	0	0	0	0.026	0.245	0	0.639	0	0	0.038
SVOPL	66.793	48.016	60.798	148.634	21.331	2.89	0.555	0.546	0.022	0	0.303
C6orf225	0.732	0.888	0.564	0.52	0.214	0.452	0.256	3.428	3.222	7.335	5.348
NUP85	56.688	19.562	13.784	30.61	22.28	35.088	15.105	14.142	17.002	29.264	23.084
SNORA18	0	0	0.051	0	3.895	4.358	6.655	0.356	0	11.321	6.742
CD177	0	0.214	0.207	0.026	0.172	0.119	0	0	0	0	0.178
PIGG	0	0.069	0.021	0.109	6.913	5.351	9.865	4.079	14.256	3.372	2.997
LGR5	0	0	0	0	0.177	0	0	0	0	0	0.05
LOC574538	0	0	0	0.041	0	0	0	0	0	0	0
SCARNA2	0.658	8.76	3.77	4.433	5.813	0.016	0	0	0	0	0.055
RAB5A	3.332	5.178	4.289	9.603	123.757	79.023	41.563	27.884	32.874	65.224	50.43
LRRC16B	0	0	0	0.264	0	0	0	0	0	0.213	0
FLJ13224	0	0	0	0	0.01	0.01	0	0	0.87	0	0.028
DCAF11	0.254	0.427	0.438	0.587	1.16	1.027	2.308	3.795	1.115	8.129	14.93
USP9Y	0	0	0	0	0.012	0.571	1.199	0	1.185	1.815	1.683
C7orf53	0	0.401	0.108	0.943	4.638	1.173	1.035	0	0.093	0.379	1.386
PLEKHM3	1.611	1.539	0.771	1.998	1.374	1.785	0.629	0.516	0.745	2.041	2.624
LRP1B	2.619	2.811	1.837	3.872	0.521	0.476	0.02	0	0	0	0
XAF1	0	0	0	0.012	0.136	1.958	0.025	0	0	0	0
ENKUR	0.04	0	0	0.235	0	0.007	0	0	0	0	0
ANKDD1A	0.049	0.263	0.159	0.343	0.169	0.308	0.062	0	0	0.278	0.218
ABCG8	1.706	3.257	1.865	4.581	2.451	0	0	0	0	0.039	0
DAND5	16.575	5.978	5.657	12.369	0.959	1.142	0.586	0.035	0.98	0.988	0.72
SPAG6	5.495	6.761	5.129	8.837	1.822	1.16	0.034	0	0	0	0
LOC100133161	0.336	0.499	0.301	0.532	0.857	0.475	0.172	0.464	3.22	1.137	1.568
ZDHHC22	0	0	0	0	0.051	0	0	0	0	3.247	3.371
CCDC60	2.401	2.52	1.873	1.534	0.326	0	0	0	0.657	0.063	0
THOC7	207.126	89.753	54.192	72.054	21.523	24.116	64.036	81.015	49.499	66.575	106.499
TCTA	0.89	1.518	1.338	0.794	15.263	26.268	4.448	1.239	1.261	5.461	8.581
CCDC162	4.861	1.453	1.463	3.804	1.182	0	0	0	0	0	0
GGTLC2	0	0.5	0.15	0.581	0.234	0.092	0	0.376	0.024	0	0.305
B2M	0	0.135	0.08	0.061	20.147	53.679	5.457	16.98	29.76	63.134	58.606
LPPR4	0	0	0	0	0	0.035	0	0	0	0.07	0.084
C6orf141	0	0	0.038	0.066	1.268	3.418	0	2.096	0.069	0.278	1.698
SQLE	12.179	10.306	5.318	8.2	5.864	8.983	155.182	113.928	87.605	75.61	48.354
LOC100129046	0	0	0	0.044	0	0	0	0	0	0	0.006
SEPHS1	38.185	18.031	16.999	38.143	11.818	25.966	39.416	59.904	48.004	283.782	214.921
GLIPR2	1.161	1.899	0.521	0.58	1.321	15.269	86.323	45.002	37.73	5.532	17.166
PLRG1	152.395	108.205	85.026	71.05	73.565	49.446	73.541	58.361	89.538	52.895	53.438
SPG7	8.538	6.099	5.732	7.784	10.974	11.915	4.158	5.127	3.114	13.581	15.293
ZNF614	0.141	0.339	0.377	0.627	5.718	6.11	0.656	0.931	6.889	5.304	2.808
PARD6G	36.046	20.808	16.428	10.234	3.629	1.542	1.075	2.334	0.708	3.317	4.031
LOC728192	0	0	0	0	0	0	0	0	0	0	0
FAM41C	17.84	20.221	25.695	40.519	3.26	2.853	0.7	0.339	0.067	0.956	0.626
MIR221	0	0	0	0	0	0	0	0	0	0	0
INPP5B	0.183	1.327	1.233	2.081	1.872	3.405	1.982	0.401	0.731	1.141	1.196
GRPEL2	7.004	14.772	8.173	12.914	20.824	25.644	10.605	22.946	9.552	17.017	11.762
PPID	25.009	19.571	7.756	4.722	24.509	25.602	165.871	119.612	158.482	81.488	69.364
TRIM56	0	0	0	0	0	3.099	1.376	4.227	11.32	2.099	5.533
UBE2J1	0.076	0	0	0.073	0.308	0.501	12.256	15.555	0.321	1.365	4.036
IL20RA	0.207	0.761	0.459	0.514	0.514	0.286	0	0	0	0.379	0.527
C1orf107	0.375	0.621	0.395	1.114	17.619	14.767	6.287	2.037	8.617	4.4	3.781
SNORA75	0	0.445	0.053	0	0.158	0.055	0	0	0	0.151	0
SAFB2	13.041	8.326	6.096	6.912	21.254	25.665	18.147	12.76	13.551	12.508	33.311
C19orf22	99.588	54.952	78.779	121.779	58.34	16.887	11.51	12.581	13.462	10.222	19.642
DNAJC25	0.471	0.369	0.272	0.21	8.338	7.295	6.844	5.404	11.81	2.604	2.875
KLRG1	4.564	3.109	1.449	2.16	2.647	2.494	0	0.024	0	3.618	0.977
NEURL3	0	0	0	0	0	0.01	0	0	0	0	0
MS4A8B	0	0	0	0	0.273	0.015	0	0	0	0	0
LOC100130155	0	0	0	0	1.254	0.145	0	0	0	0	0.901
E2F4	71.88	21.648	16.679	26.402	7.202	33.742	43.485	76.679	65.284	47.235	38.489
CLEC4M	0	0	0	0	0	0	0	0.543	0	0	0
TAC1	0.626	0	0.067	0.131	5.592	23.288	0	0	0	0.785	3.47
GYPA	0	0	0	0	0.043	0	0	0	0	0	0
TRAIP	2.612	15.849	11.931	34.684	13.994	13.279	5.44	3.968	0.382	7.19	9.32
LOC284412	1.642	0.932	0.603	0.56	0.635	0.463	0.186	1.264	2.499	1.793	0.474
LOC729852	7.471	11.354	7.509	4.628	4.981	6.045	4.225	4.471	3.904	8.061	4.374
KIAA0232	1.803	2.357	1.223	1.444	0.811	3.365	10.817	1.519	9.151	3.249	4.824
ERCC8	4.881	2.519	1.086	2.533	6.508	2.832	7.304	4.846	2.052	4.965	6.666
GPX4	3.053	1.22	0.846	3.766	63.202	163.501	150.197	188.203	144.114	223.268	342.09
KIAA0368	2.682	3.307	2.423	3.554	2.251	3.699	13.981	16.797	21.079	30.122	20.099
GPR157	0	0	0	0.032	0	0	0	0	0	0.029	0
OR52A1	0.28	0.072	0	0	0	0	0	0	0	0.187	0
FAM199X	24.616	33.86	24.786	16.175	3.059	1.441	7.582	9.758	2.053	5.111	4.525
CTAGE4	0	0	0	0.081	0.038	1.448	0.055	0	0.148	11.025	3.525
C9orf30	5.853	10.827	8.333	21.41	2.315	7.738	9.598	5.039	2.262	23.247	19.116
HSP90B3P	0	0	0	0	0.058	0.012	0.04	0	0	0.046	0.022
ALG9	1.907	2.108	1.515	2.824	0.858	0.123	5.649	0.853	1.369	2.151	3.487
BTBD10	119.225	118.666	122.984	137.793	38.796	11.749	38.619	39.141	15.833	32.345	19.945
SDK2	0.813	2.866	3.267	3.901	1.69	0.062	0.05	0	0.054	0.199	0.358
BAIAP3	0.045	0.706	0.711	0.67	0.592	0.219	0.505	0.919	0.443	0.735	0.937
RABGGTB	10.977	6.677	12.216	32.331	17.178	3.897	19.396	27.77	4.123	13.444	7.04
ANKRD40	7.532	6.229	4.121	8.123	10.794	21.827	8.177	8.015	6.43	13.562	10.318
LOC100289673	0	0	0	0	0	1.952	0	0	0	0	0
CALCOCO2	11.729	44.495	39.03	77.155	55.08	66.467	6.843	9.974	30.077	4.168	5.201
SNCA	0	0	0	0	0.012	1.87	0	0	0	4.3	2.24
SPATS2L	0.485	0.625	0.566	0.655	1.181	1.898	1.688	2.792	11.846	12.292	15.344
C2orf53	0	0	0	0.066	0	0	0	0	0	0	0
ESRRB	0.237	0.312	0.168	0.472	0.275	7.196	17.031	3.31	8.909	0	0
SLC48A1	1.349	1.849	1.61	0.577	0.089	0.191	3.626	2.231	0.141	2.636	0.825
ARHGAP26	9.755	14.038	8.773	18.362	3.489	2.649	0.557	0.491	0.789	1.966	2.594
TDRD9	4.664	3.549	2.035	3.357	2.345	0.283	0	0	0	0	0
PRCD	0.142	0.077	0	0.383	0	0.089	0	0	0	0	0.031
CDK16	2.201	5.355	4.089	10.157	9.536	6.496	8.763	17.08	10.375	8.89	14.018
KLRC4	0	0	0	0	0	0	0	0	0	0	0
HRAS	0.548	0.984	1.216	1.7	3.728	2.888	3.626	14.811	3.267	6.288	8.69
JAGN1	44.045	23.278	16.905	32.514	34.385	112.171	100.259	59.928	72.709	36.268	34.564
BSDC1	15.534	22.048	13.405	28.34	8.77	6.531	3.357	1.174	8.262	6.836	13.302
RNF43	0	0	0	0	0.028	0.915	0.044	2.761	0	0	0.212
NDUFAF1	7.399	3.289	1.686	6.57	18.469	30.269	21.421	31.51	12.989	24.023	11.393
PHF12	2.571	17.266	11.915	14.455	9.363	5.33	2.255	1.175	0.36	5.648	5.8
FOLR2	0	0	0	0	0	0.525	0	0.019	0.212	0	0
PLAC8L1	0.273	0.173	0.03	0	0	0.255	0.075	0	0	0	0.124
LYZL6	0	0	0	0.073	0.18	0.541	1.065	0	0	0	0.01
WSB1	15.049	10.644	3.074	4.46	99.211	101.265	98.903	68.169	114.121	83.767	77.114
PROS1	0	0	0	0	0.23	0.064	0	0.635	1.066	0.459	0.104
SOCS4	1.853	4.33	2.53	2.943	4.838	8.045	4.869	0.985	7.697	4.834	4.242
PSMB8	0	0	0	0.036	1.495	10.899	0	0	0	4.296	22.587
SDR39U1	0.081	0	0.026	0	1.736	1.317	11.858	36.599	5.135	16.273	16.396
DDIT4L	0.487	0.129	0.047	0.168	0.233	0.849	10.32	13.226	1.256	5.034	1.853
MAS1	0	0	0.08	1.092	0	0	0	0	0	0	0
LOC283050	0	0	0	0.099	0	0	0	0	0	0	0
TBCCD1	9.566	8.419	4.854	10.762	12.92	16.73	7.819	3.362	6.906	11.521	7.974
CSHL1	0	0	0	0	0.009	0.044	0	0	0	0.447	0.014
SCARNA16	0	1.407	3.221	0.064	1.234	2.523	0.061	0	0	0.576	1.166
ZBTB7C	2.308	1.644	1.384	2.82	0.467	0	2.742	3.954	0.216	0.144	0
AP2S1	10.715	10.566	6.302	13.625	45.227	95.282	82.407	138.836	59.483	67.961	118.688
VAT1	8.15	24.858	31.614	48.668	24.939	41.15	22.09	44.71	48.392	47.868	53.615
SHANK3	0.393	0.747	1.049	1.5	0.35	0.011	0	0	0	0.143	0.038
TUFM	8.83	5.415	4.96	17.645	96.579	146.545	278.534	372.027	200.657	201.801	300.705
OR7E5P	0	0	0	0.022	0.035	0.101	0.146	0.017	0.056	0.28	0.067
THEG	0	0.544	0.266	0.453	3.231	1.205	0	0	0	0	0
SGSM3	0.047	0.536	0.571	0.737	0.362	0.667	1.627	0.948	0.335	2.813	6.597
FOLR4	4.342	20.236	10.457	37.884	3.59	0.268	0	0	0	0	0.022
TOMM22	2.616	2.861	3.264	6.316	85.035	93.569	94.426	70.697	71.895	64.094	85.51
SOCS3	0	0	0	0	0.142	2.676	0.448	1.864	9.138	9.236	2.702
CPO	0	0.206	0.088	0.074	0.015	0	0	3.756	0	0.695	0
POP4	9.57	16.202	11.003	16.665	17.097	41.895	35.269	33.938	17.206	8.613	12.591
MALL	0.677	0.595	0.714	0.856	1.344	2.321	2.476	0.606	3.373	2.449	2.591
PARK2	1.019	1.529	0.728	1.106	2.571	2.077	1.964	0.675	7.675	1.31	1.19
GPR124	0	0.115	0.088	0.035	0.062	0.1	0.044	0.079	0	0.642	0.094
TMEM132A	0	0	0	0	0	0.041	0.028	0.878	0.389	0.711	2.672
LCE1E	0	0	0	0	0	0	0	0	0	0	0.203
RUVBL2	5.02	8.472	5.572	22.434	29.476	46.373	68.345	89.621	64.256	95.95	128.029
CGRRF1	1.468	4.387	2.678	10.339	1.94	10.296	12.359	3.983	3.701	20.976	11.538
ACPL2	38.018	30.114	25.299	32.834	8.235	0.438	0.912	0.025	0.055	3.582	4.356
WNT10B	0	0	0	0.071	0	4.448	0	0	1.597	0.119	0
GTF2IRD2P1	0	0	0	0.077	0.535	0.229	0.034	0	0	0.152	0.013
BAIAP2L2	1.426	2.598	2.354	1.532	7.378	25.708	0.912	1.158	1.459	1.44	7.15
SNORD51	0	0	0	0	0	0	0	0	0	0.074	0.028
LOC728724	20.395	9.983	5.433	11.718	2.182	0.194	0	0	0	0.019	0
ISCA1	6.043	5.804	3.18	2.856	29.454	34.85	74.301	55.868	32.816	52.309	48.333
C1orf125	0	0.345	0.204	0.589	1.709	1.259	0.159	0	2.492	0.069	0.099
RPAP1	2.114	3.446	2.252	6.086	5.044	5.533	3.626	3.457	2.809	3.589	6.59
RPL27	498.336	329.569	464.493	1207.854	1364.561	1295.057	1307.584	3044.693	1692.366	1870.484	1899.265
NLRP9	323.729	510.838	714.657	362.204	73.252	30.291	0.661	7.916	0.355	0.231	0.27
EPN1	0.243	1.052	1.189	1.443	1.615	0.54	0.595	2.774	2.569	0.358	1.578
LOC389493	0.152	0.072	0.06	0.21	0.035	0.172	0.797	0.349	0	1.823	0.078
SLC35A1	13.943	34.54	13.484	16.889	6.651	2.478	22.121	6.004	21.213	0.687	0.399
GAL	0.691	0.457	0.34	0.725	1.34	4.399	7.033	23.238	0.287	28.354	49.091
SLC14A2	0.224	0.308	0.346	0.776	0.876	1.528	0.692	1.478	0.621	1.021	1.078
RDH11	0.369	0.094	0.189	0.282	0.878	10.005	89.527	84.604	87.029	73.322	77.099
FAM138F	0.098	0.881	0.619	0.582	0.407	0.117	0	0	0	0.192	0.071
AUH	13.377	5.953	3.202	7.193	6.479	3.179	14.644	7.539	4.401	4.745	6.167
C14orf129	15.058	35.18	38.604	40.953	15.591	7.378	5.935	7.51	1.826	5.888	6.865
MBD2	7.506	2.802	1.993	1.271	3.802	5.097	5.548	9.811	5.477	4.807	4.299
ABHD14B	1.792	2.303	2.478	1.311	4.277	16.759	4.574	1.661	1.601	0.175	2.651
SPHAR	5.703	6.746	3.879	4.61	2.061	0.705	4.087	4.119	4.591	7.728	5.325
PIGT	1.934	1.824	1.344	3.059	17.642	15.445	25.276	32.565	4.868	24.694	39.025
ALS2CR4	1.266	1.125	0.449	2.955	0.544	1.928	3.86	1.181	8.482	12.404	8.918
ALAS1	312.775	194.612	284.412	204.159	13.84	22.374	22.53	13.784	7.079	15.462	20.991
FOXO1	34.813	21.615	28.243	29.101	24.369	11.569	7.911	3.711	13.025	28.194	43.677
CRLF3	3.481	6.115	3.787	4.597	13.924	5.237	9.411	11.317	7.244	13.088	8.106
OR5W2	0	0	0.023	0	0	0	0	0	0	0	0
C20orf107	0.159	0.219	0.094	0.137	0.38	0.636	0.648	0	0	1.978	0.117
FARS2	6.051	6.209	3.098	11.304	3.157	8.285	11.336	6.886	22.72	15.532	18.477
DAD1L	0	0.072	0	0.026	1.51	0.482	0.11	0.544	0	0	2.192
CCDC28A	26.802	16.546	15.299	21.456	15.236	19.677	16.377	15.907	4.188	13.687	9.91
OR13F1	0	0	0	0.183	0	0	0	0	0	0	0
NPHP3	0.36	0.893	0.637	0.319	0.595	1.075	0.077	0.128	2.947	0.752	2.418
LOC285627	0	0.093	0.032	0	0	0	0	0	0	0	0
TSEN54	0	0.073	0	0	6.413	14.386	24.955	24.532	8.408	11.624	14.229
AFARP1	0	0	0	0	0.73	0.378	0	0	0	0.054	0.005
STH	0.037	0	0.041	0.262	0	0	0	0	0	0	0
ZC3H14	43.109	51.407	38.048	47.985	10.562	8.475	25.444	23.159	11.799	23.36	25.116
TMEM49	2.977	8.847	5.004	11.364	66.694	97.139	64.225	64.05	69.684	64.025	33.609
HMGXB4	131.616	102.689	85.654	79.852	22.53	19.709	10.861	20.313	12.373	21.199	31.54
CBX2	24.715	8.567	7.427	9.215	2.516	5.693	3.291	1.612	0.172	24.685	20.834
CXADRP2	0.044	0	0.023	0.045	2.59	2.676	2.47	0.309	2.66	1.648	1.531
RBMXL1	5.437	4.641	4.094	6.951	11.641	11.575	14.821	6.586	8.904	13.516	14.127
CRTAP	0.489	1.625	1.136	1.9	0.16	0.335	4.001	14.583	7.38	17.245	13.464
DDX50	22.561	75.993	61.168	77.447	31.519	16.66	18.224	5.102	23.734	19.213	22.983
TBPL2	3.17	1.701	1.348	5.079	4.76	3.867	2.555	0	1.086	0	0.982
STYXL1	0.552	2.013	1.062	4.683	1.554	6.181	3.224	7.351	11.443	11.349	28.448
EFCAB4A	0	0.073	0.213	0.63	0.808	0.565	0.018	5.916	0	7.658	12.697
BLVRB	0.32	0.142	0	0.453	10.088	74.139	8.464	20.164	2.108	52.095	88.688
SNORA68	0	0	0	0.048	1.916	0.998	0.86	0	0	9.634	0.11
MMP24	0.338	0.248	0.12	0.403	2.17	3.245	0.584	5.035	13.019	8.523	13.073
GRID1	0	0	0	0.03	0.11	0.043	0	0	0	0.35	0.015
BANF1	51.533	122.947	113.73	127.582	130.478	199.076	143.204	227.437	102.098	130.135	172.575
CATSPER2P1	1.326	1.285	0.73	0.359	1.278	0.231	0.04	0	0.077	0.013	0.732
HMBS	0.31	0.174	0.181	0.703	0.84	6.765	14.591	32.329	15.141	56.585	58.044
FAM13A	605.534	623.718	660.622	357.836	19.791	10.666	0.474	0	0.114	5.179	7.015
SLC25A24	0	0.035	0	0	0.769	0.483	0.796	1.185	2.038	4.291	7.344
FLJ44606	0.127	0.308	0.111	0.058	0.096	0.26	0.157	0.06	0.068	1.477	0.012
C14orf50	0.231	0.114	0.114	1.453	0.036	0.687	0.269	0	0	0.873	0.012
SLC25A15	0.664	0.795	0.867	0.592	1.993	2.676	3.361	2.794	1.155	11.23	8.599
MRO	0.491	0.623	0.664	1.043	0.788	0.831	0.486	0.045	0.474	0.69	1.233
CCDC129	0.175	0.258	0.187	0.319	0.077	0.093	0	0	0	0	0
ACER3	7.107	6.143	3.587	5.04	1.407	7.719	9.735	4.964	0.36	7.17	6.599
FAM84B	23.287	24.678	19.824	9.785	3.983	5.747	19.067	6.161	39.209	53.776	11.688
TDP1	79.958	61.001	51.145	65.043	12.406	7.662	12.224	9.851	1.943	7.316	10.634
C16orf78	0	0	0.044	0	0.046	0	0	0	0	0	0
C11orf57	42.544	38.878	45.31	53.929	26.694	31.81	19.539	13.361	10.474	18.296	17.91
RFK	0.138	0.05	0.065	0.771	142.176	90.172	79.281	35.596	36.563	4.122	4.516
ARHGAP8	2.251	3.386	3.072	10.513	4.268	8.229	50.822	36.901	62.989	11.42	16.623
ZFYVE9	10.889	15.938	11.154	12.809	4.551	9.287	2.873	2.256	7.679	2.488	2.279
LOC643008	0	0	0.029	0	0	0.067	0	0	0.024	0	0.005
WIBG	2.888	10.934	18.34	44.038	39.547	33.575	63.042	65.131	72.818	105.621	67.581
GBA2	0.207	1.037	0.61	0.805	1.303	0.987	4.501	5.225	13.177	7.537	8.359
NDUFB3	9.663	6.015	5.91	9.119	11.732	31.778	36.263	22.493	35.509	18.136	26.877
HSD17B13	0.917	1.389	1.685	0.671	1.378	2.05	1.041	0.678	0.81	1.417	2.778
GRIN3A	0	0	0	0	0.091	0	0	0	0	0	0.031
FLJ34503	0	0	0	0	0	0	0	0	0	0	0.227
FMNL1	2.24	1.226	1.736	1.729	1.145	0.462	0	0	0.029	0.046	0.57
FLJ41200	0.187	0.21	0.343	0.304	0.868	1.377	0.769	0.355	0.553	0.934	1.077
41159	43.095	57.274	43.677	36.805	83.036	109.905	65.56	31.89	41.808	44.341	50.931
GNLY	0	0	0	0.039	0.022	0.32	0	0	0	0	0
GRAMD1C	1.435	1.176	0.653	0.814	1.595	0.113	1.755	0.252	0	0.687	0.51
